s0,s1,s2,transform,action,overall
CC,RC,CR,0.0158649,0.223048,0.302011
CC,RC,CR,0.0157603,0.222665,0.302892
CC,RC,CR,0.0157982,0.223085,0.303499
CC,RC,CR,0.0158808,0.222737,0.305085
CC,RC,RC,0.0165348,0.223195,0.32254
CC,RC,RC,0.0164047,0.222477,0.306016
CC,RC,RC,0.016449,0.222404,0.309233
CC,RC,RC,0.0132713,0.222678,0.309623
CC,RC,RC,0.0163241,0.218007,0.304491
CC,RC,RC,0.0156943,0.21298,0.292635
CC,RC,RC,0.015761,0.213168,0.292498
CC,RC,RC,0.0157964,0.212929,0.308044
CC,RC,RC,0.0157156,0.213192,0.296626
CC,RC,RC,0.0157837,0.213265,0.295972
CC,RC,RC,0.0157092,0.213099,0.292166
CC,RC,RC,0.0157068,0.212838,0.29192
CC,RC,RC,0.0158608,0.213122,0.294166
CC,RC,RC,0.0124471,0.213008,0.291902
CC,RC,RC,0.0158449,0.21331,0.312002
CC,RC,RC,0.0157788,0.213014,0.295928
CC,RC,RC,0.0159188,0.21285,0.295537
CC,RC,RC,0.0157155,0.212819,0.290105
CC,RC,RC,0.015654,0.212809,0.29587
CC,RC,RC,0.0159408,0.216578,0.29596
CC,RC,C,0.0154955,0.223126,0.308727
CC,RC,C,0.0155073,0.223419,0.319955
CC,RC,C,0.0151929,0.223785,0.311294
CC,RC,C,0.0154381,0.223412,0.305462
CC,RC,C,0.0153782,0.22335,0.305694
CC,RC,C,0.0153895,0.223428,0.304089
CC,RC,C,0.0154262,0.223749,0.30724
CC,RC,C,0.0154313,0.223186,0.307006
CC,RC,C,0.0154221,0.223446,0.319924
CC,RC,C,0.0152929,0.222967,0.308683
CC,RC,C,0.0153196,0.222795,0.305965
CC,RC,C,0.0153175,0.222708,0.3071
CC,RC,C,0.0153239,0.222593,0.304509
CC,RC,C,0.0153671,0.223241,0.30374
CC,RC,C,0.0153972,0.22343,0.309019
CC,RC,C,0.012062,0.222993,0.319598
CC,RC,C,0.0152699,0.223534,0.308309
CC,RC,C,0.0154004,0.222956,0.306823
CC,RC,C,0.0155919,0.222876,0.304201
CC,RC,C,0.0152696,0.223033,0.303586
CC,RC,R,0.0109876,0.223006,0.300533
CC,RC,R,0.0111649,0.22249,0.300722
CC,RC,R,0.0109303,0.222478,0.314057
CC,RC,R,0.0108475,0.222631,0.299173
CC,RC,R,0.0108502,0.223473,0.298427
CC,RC,R,0.0110155,0.222909,0.304764
CC,RC,R,0.0108916,0.223116,0.300191
CC,RC,R,0.0108089,0.223002,0.300101
CC,RC,R,0.0109969,0.222976,0.298485
CC,RC,R,0.0075595,0.223053,0.31582
CC,RC,R,0.0108971,0.2232,0.307015
CC,RC,R,0.0108877,0.223268,0.30738
CC,RC,R,0.0109222,0.223329,0.301497
CC,RC,R,0.0108598,0.222925,0.304127
CC,RC,R,0.0108868,0.222991,0.307497
CC,RC,R,0.0108336,0.222847,0.304845
CC,RC,R,0.00764963,0.222468,0.317296
CC,RC,R,0.0108612,0.223256,0.299285
CC,RC,R,0.0109177,0.223283,0.301877
CC,RC,R,0.0109532,0.223562,0.301849
CC,C,CC,0.015408,0.273997,0.356774
CC,C,CC,0.0149471,0.273813,0.356735
CC,C,CC,0.0151297,0.273819,0.358246
CC,C,CC,0.0150426,0.27386,0.375225
CC,C,CC,0.0152041,0.273979,0.36123
CC,C,CC,0.0151124,0.274303,0.352595
CC,C,CC,0.0151377,0.274075,0.355514
CC,C,CC,0.0150511,0.273871,0.356244
CC,C,CC,0.0149355,0.27398,0.353336
CC,C,CC,0.015072,0.274251,0.374342
CC,C,CC,0.0114498,0.274389,0.358889
CC,C,CC,0.0151371,0.273923,0.358586
CC,C,CC,0.015108,0.274001,0.349378
CC,C,CC,0.0112206,0.274076,0.35607
CC,C,CC,0.0151414,0.274081,0.352934
CC,C,CC,0.0151826,0.274652,0.372054
CC,C,CC,0.0152306,0.273987,0.359518
CC,C,CC,0.0112244,0.274101,0.356975
CC,C,CC,0.0151536,0.273894,0.358843
CC,C,CC,0.0150036,0.273851,0.356611
